cancoes_id,album_id,cancoes
1,1,"""Soul For Us"""
2,1,"""Reflections Of Magic"""
3,1,"""Dance With Her Own"""
4,2,"""Troubles Of My Inner Fire"""
5,2,"""Time Fireworks"""
6,3,"""Magic Circus"""
7,3,"""Honey, So Do I"""
8,3,"""Sweetie, Let's Go Wild"""
9,3,"""She Knows"""
10,4,"""Fantasy For Me"""
11,4,"""Celebration Of More"""
12,4,"""Rock His Everything"""
13,4,"""Home Forever"""
14,4,"""Diamond Power"""
15,4,"""Honey, Let's Be Silly"""
16,5,"""Thang Of Thunder"""
17,5,"""Words Of Her Life"""
18,5,"""Without My Streets"""
